sep=,
IID,category,path,analyzer,status
"014DB8AA6ED803987ED5B7DE27AF9517","Cross-Site Request Forgery","frontend/src/app/photo-wall/photo-wall.component.html:47","Content","new"
"DCE4ACD9422BBA8265BBFAF5BCED8217","Cross-Site Request Forgery","frontend/src/assets/private/three.js:11822","Structural","new"
"2526E8D58812DD70D714F3C2741D31F3","Cross-Site Request Forgery","frontend/src/app/two-factor-auth/two-factor-auth.component.html:14","Content","new"
"2526E8D58812DD70D714F3C2741D31F4","Cross-Site Request Forgery","frontend/src/app/two-factor-auth/two-factor-auth.component.html:49","Content","new"
"BF40F7CCA88999CC5AF1F16BAC17FA18","Cross-Site Request Forgery","test/cypress/integration/e2e/search.spec.ts:116","Structural","new"
"BF40F7CCA88999CC5AF1F16BAC17FA17","Cross-Site Request Forgery","test/cypress/integration/e2e/restApi.spec.ts:16","Structural","new"
"BF40F7CCA88999CC5AF1F16BAC17FA0F","Cross-Site Request Forgery","test/cypress/integration/e2e/basket.spec.ts:119","Structural","new"
"BF40F7CCA88999CC5AF1F16BAC17FA16","Cross-Site Request Forgery","test/cypress/integration/e2e/register.spec.ts:77","Structural","new"
"B0ADEFE88ACC5F97EF1F6787A6CBC2EE","Cross-Site Request Forgery","frontend/src/app/two-factor-auth-enter/two-factor-auth-enter.component.html:15","Content","new"
"BF40F7CCA88999CC5AF1F16BAC17FA15","Cross-Site Request Forgery","test/cypress/integration/e2e/register.spec.ts:53","Structural","new"
"BF40F7CCA88999CC5AF1F16BAC17FA14","Cross-Site Request Forgery","test/cypress/integration/e2e/register.spec.ts:21","Structural","new"
"BF40F7CCA88999CC5AF1F16BAC17FA13","Cross-Site Request Forgery","test/cypress/integration/e2e/profile.spec.ts:104","Structural","new"
"BF40F7CCA88999CC5AF1F16BAC17FA12","Cross-Site Request Forgery","test/cypress/integration/e2e/dataErasure.spec.ts:12","Structural","new"
"BF40F7CCA88999CC5AF1F16BAC17FA11","Cross-Site Request Forgery","test/cypress/integration/e2e/complain.spec.ts:41","Structural","new"
"BF40F7CCA88999CC5AF1F16BAC17FA10","Cross-Site Request Forgery","test/cypress/integration/e2e/complain.spec.ts:24","Structural","new"
"3023D62290A12C27D718D56F1D260989","Cross-Site Request Forgery","frontend/src/assets/private/three.js:27912","Structural","new"
"63F5EDE1A980081966A9641D40377EEB","Cross-Site Request Forgery","frontend/src/assets/private/three.js:28139","Structural","new"
"BF40F7CCA88999CC5AF1F16BAC17FA0E","Cross-Site Request Forgery","test/cypress/integration/e2e/basket.spec.ts:61","Structural","new"
"BF40F7CCA88999CC5AF1F16BAC17FA0D","Cross-Site Request Forgery","test/cypress/integration/e2e/b2bOrder.spec.ts:42","Structural","new"
"BF40F7CCA88999CC5AF1F16BAC17FA0C","Cross-Site Request Forgery","test/cypress/integration/e2e/b2bOrder.spec.ts:12","Structural","new"
"5E95720A3715E0844914FAC4B5C7A9C8","Cross-Site Request Forgery","frontend/src/assets/private/three.js:28068","Structural","new"
"5E95720A3715E0844914FAC4B5C7A9C7","Cross-Site Request Forgery","frontend/src/assets/private/three.js:28021","Structural","new"
"83CC340FF32E6BB47428E6405B0EE00A","Cross-Site Request Forgery","test/cypress/integration/e2e/deluxe.spec.ts:27","Structural","new"
"AE43FAC4281225A6486EA7ECE43F5A4D","Cross-Site Request Forgery","test/cypress/integration/e2e/contact.spec.ts:207","Structural","new"
"AE43FAC4281225A6486EA7ECE43F5A4C","Cross-Site Request Forgery","test/cypress/integration/e2e/contact.spec.ts:161","Structural","new"
"82BFA217C48D3E58AA92906261985C3B","Cross-Site Request Forgery","test/cypress/support/commands.ts:42","Structural","new"
"82BFA217C48D3E58AA92906261985C3A","Cross-Site Request Forgery","test/cypress/support/commands.ts:33","Structural","new"
"469021565090450B01B299C286B33AF4","Cross-Site Request Forgery","test/cypress/integration/e2e/noSql.spec.ts:132","Structural","new"
"E431F59FCDEE42C6D4DC94542614D8F6","Cross-Site Request Forgery","test/cypress/integration/e2e/noSql.spec.ts:87","Structural","new"
"E431F59FCDEE42C6D4DC94542614D8F5","Cross-Site Request Forgery","test/cypress/integration/e2e/noSql.spec.ts:40","Structural","new"
"E431F59FCDEE42C6D4DC94542614D8F4","Cross-Site Request Forgery","test/cypress/integration/e2e/noSql.spec.ts:17","Structural","new"
"E431F59FCDEE42C6D4DC94542614D8F3","Cross-Site Request Forgery","test/cypress/integration/e2e/contact.spec.ts:190","Structural","new"
"E431F59FCDEE42C6D4DC94542614D8F2","Cross-Site Request Forgery","test/cypress/integration/e2e/contact.spec.ts:140","Structural","new"
"EB2776137320294896187103FF018B25","Cross-Site Request Forgery","frontend/src/assets/private/three.js:12016","Structural","new"
"E431F59FCDEE42C6D4DC94542614D8F8","Cross-Site Request Forgery","test/cypress/integration/e2e/restApi.spec.ts:93","Structural","new"
"E431F59FCDEE42C6D4DC94542614D8F7","Cross-Site Request Forgery","test/cypress/integration/e2e/noSql.spec.ts:148","Structural","new"
"03688A66AE67236865033FEAC8BBED4C","Denial of Service","Gruntfile.js:77","Structural","new"
"52CEB9481EBFFDD625675AB77428D2A0","Insecure Randomness","frontend/src/app/code-fixes/code-fixes.component.ts:49","Structural","new"
"35D854B85F6A809A228B091E0484C018","Insecure Randomness","frontend/src/assets/private/three.js:6426","Structural","new"
"35D854B85F6A809A228B091E0484C017","Insecure Randomness","frontend/src/assets/private/three.js:6426","Structural","new"
"E327A4CED6522C329A67601B83FD4151","Insecure Randomness","routes/captcha.ts:20","Structural","new"
"E327A4CED6522C329A67601B83FD4150","Insecure Randomness","routes/captcha.ts:19","Structural","new"
"E327A4CED6522C329A67601B83FD414F","Insecure Randomness","routes/captcha.ts:17","Structural","new"
"E327A4CED6522C329A67601B83FD414E","Insecure Randomness","routes/captcha.ts:16","Structural","new"
"E327A4CED6522C329A67601B83FD414D","Insecure Randomness","routes/captcha.ts:15","Structural","new"
"830F6F076373E206F5B02EEFEAD635E2","Insecure Randomness","frontend/src/assets/private/three.js:6450","Structural","new"
"C9718E95F889CDF7061713F2628CAA36","Insecure Randomness","frontend/src/assets/private/three.js:6359","Structural","new"
"A1BBF4085334525B2925C358D063C93E","Insecure Randomness","frontend/src/assets/private/three.js:6442","Structural","new"
"B5D0A017431EBAB2F8F7308F5A878246","Insecure Randomness","frontend/src/assets/private/three.js:15567","Structural","new"
"EDB2568B071945E9D24E03B64B34E519","Insecure Randomness","frontend/src/assets/private/three.js:15534","Structural","new"
"20BBCF4A2202CD416EE7CCE8C9E2DC38","Insecure Randomness","frontend/src/assets/private/three.js:15504","Structural","new"
"F43FE65882356BD79D6E0633A844B945","Insecure Randomness","frontend/src/assets/private/three.js:6434","Structural","new"
"99D1092D7D34CEA749A6F9D4479AD1C0","Insecure Transport","test/server/preconditionValidationSpec.ts:55","Structural","new"
"D3EB9C83A21C2A2E0E48545994F0ACE5","Insecure Transport","test/api/productReviewApiSpec.ts:63","Structural","new"
"B4D4981E3A62D46B6CEE6AEE31BC2504","Key Management: Hardcoded Encryption Key","test/api/vulnCodeFixesSpec.ts:45","Structural","new"
"B4D4981E3A62D46B6CEE6AEE31BC2503","Key Management: Hardcoded Encryption Key","test/api/vulnCodeFixesSpec.ts:34","Structural","new"
"B4D4981E3A62D46B6CEE6AEE31BC2506","Key Management: Hardcoded Encryption Key","test/api/vulnCodeFixesSpec.ts:72","Structural","new"
"B4D4981E3A62D46B6CEE6AEE31BC2505","Key Management: Hardcoded Encryption Key","test/api/vulnCodeFixesSpec.ts:59","Structural","new"
"B4D4981E3A62D46B6CEE6AEE31BC2508","Key Management: Hardcoded Encryption Key","test/api/vulnCodeSnippetSpec.ts:55","Structural","new"
"B4D4981E3A62D46B6CEE6AEE31BC2507","Key Management: Hardcoded Encryption Key","test/api/vulnCodeSnippetSpec.ts:39","Structural","new"
"EDD773801311FEA55C558BF595C01516","Often Misused: File Upload","frontend/src/app/score-board/score-board.component.html:80","Content","new"
"3DD329D163AFA3E6B17921C1B6DA5395","Often Misused: File Upload","frontend/src/app/photo-wall/photo-wall.component.html:51","Content","new"
"DB2DD69F76719FE015C3DB26F10F55A5","Often Misused: File Upload","frontend/src/app/complaint/complaint.component.html:45","Content","new"
"E2BFCCEEE92EAADF0850F335FAA4154F","Password Management: Empty Password","frontend/src/app/register/register.component.spec.ts:115","Structural","new"
"6B528649D9F174621A71CE4CC9FA7FFA","Password Management: Hardcoded Password","frontend/src/app/oauth/oauth.component.spec.ts:85","Structural","new"
"6B528649D9F174621A71CE4CC9FA7FFC","Password Management: Hardcoded Password","test/cypress/integration/e2e/register.spec.ts:61","Structural","new"
"6B528649D9F174621A71CE4CC9FA7FFB","Password Management: Hardcoded Password","test/cypress/integration/e2e/register.spec.ts:29","Structural","new"
"22381F2D349BD963DCCA7069305A2EAD","Password Management: Hardcoded Password","test/cypress/integration/e2e/totpSetup.spec.ts:20","Structural","new"
"22381F2D349BD963DCCA7069305A2EAC","Password Management: Hardcoded Password","test/cypress/integration/e2e/totpSetup.spec.ts:6","Structural","new"
"22381F2D349BD963DCCA7069305A2EAB","Password Management: Hardcoded Password","test/cypress/integration/e2e/search.spec.ts:83","Structural","new"
"22381F2D349BD963DCCA7069305A2EAA","Password Management: Hardcoded Password","test/cypress/integration/e2e/search.spec.ts:56","Structural","new"
"22381F2D349BD963DCCA7069305A2EA9","Password Management: Hardcoded Password","test/cypress/integration/e2e/restApi.spec.ts:82","Structural","new"
"22381F2D349BD963DCCA7069305A2EA8","Password Management: Hardcoded Password","test/cypress/integration/e2e/restApi.spec.ts:4","Structural","new"
"22381F2D349BD963DCCA7069305A2EA7","Password Management: Hardcoded Password","test/cypress/integration/e2e/register.spec.ts:84","Structural","new"
"22381F2D349BD963DCCA7069305A2EA6","Password Management: Hardcoded Password","test/cypress/integration/e2e/register.spec.ts:60","Structural","new"
"22381F2D349BD963DCCA7069305A2EA5","Password Management: Hardcoded Password","test/cypress/integration/e2e/register.spec.ts:28","Structural","new"
"22381F2D349BD963DCCA7069305A2EA4","Password Management: Hardcoded Password","test/cypress/integration/e2e/register.spec.ts:10","Structural","new"
"22381F2D349BD963DCCA7069305A2EA3","Password Management: Hardcoded Password","test/cypress/integration/e2e/profile.spec.ts:3","Structural","new"
"22381F2D349BD963DCCA7069305A2EA2","Password Management: Hardcoded Password","test/cypress/integration/e2e/noSql.spec.ts:122","Structural","new"
"22381F2D349BD963DCCA7069305A2EA1","Password Management: Hardcoded Password","test/cypress/integration/e2e/noSql.spec.ts:78","Structural","new"
"22381F2D349BD963DCCA7069305A2EA0","Password Management: Hardcoded Password","test/cypress/integration/e2e/noSql.spec.ts:55","Structural","new"
"22381F2D349BD963DCCA7069305A2E46","Password Management: Hardcoded Password","test/api/dataExportApiSpec.ts:151","Structural","new"
"22381F2D349BD963DCCA7069305A2E45","Password Management: Hardcoded Password","test/api/dataExportApiSpec.ts:111","Structural","new"
"22381F2D349BD963DCCA7069305A2E44","Password Management: Hardcoded Password","test/api/dataExportApiSpec.ts:76","Structural","new"
"22381F2D349BD963DCCA7069305A2E43","Password Management: Hardcoded Password","test/api/dataExportApiSpec.ts:47","Structural","new"
"22381F2D349BD963DCCA7069305A2E42","Password Management: Hardcoded Password","test/api/dataExportApiSpec.ts:20","Structural","new"
"22381F2D349BD963DCCA7069305A2E41","Password Management: Hardcoded Password","test/api/basketItemApiSpec.ts:20","Structural","new"
"22381F2D349BD963DCCA7069305A2E40","Password Management: Hardcoded Password","test/api/basketApiSpec.ts:100","Structural","new"
"22381F2D349BD963DCCA7069305A2E3F","Password Management: Hardcoded Password","test/api/basketApiSpec.ts:24","Structural","new"
"22381F2D349BD963DCCA7069305A2E3E","Password Management: Hardcoded Password","test/api/addressApiSpec.ts:20","Structural","new"
"22381F2D349BD963DCCA7069305A2E3D","Password Management: Hardcoded Password","frontend/src/app/oauth/oauth.component.spec.ts:92","Structural","new"
"22381F2D349BD963DCCA7069305A2E3C","Password Management: Hardcoded Password","frontend/src/app/oauth/oauth.component.spec.ts:85","Structural","new"
"D6B577FF85923983C7EF7B7CD453F047","Password Management: Hardcoded Password","frontend/src/app/register/register.component.spec.ts:153","Structural","new"
"3D2E1A5814B7B8722F8C6D544123450E","Password Management: Hardcoded Password","frontend/src/app/register/register.component.spec.ts:153","Structural","new"
"80AEBD4C7B0525CD4EC2293B7EDBFE60","Password Management: Hardcoded Password","frontend/src/app/Services/two-factor-auth-service.spec.ts:80","Structural","new"
"DFE31B7CAE82E3A94283D5196D57CCD9","Password Management: Hardcoded Password","test/cypress/integration/e2e/b2bOrder.spec.ts:6","Structural","new"
"80AEBD4C7B0525CD4EC2293B7EDBFE5F","Password Management: Hardcoded Password","frontend/src/app/Services/two-factor-auth-service.spec.ts:64","Structural","new"
"1DC4D634B6596725640563CD02E78909","Password Management: Hardcoded Password","frontend/src/app/register/register.component.spec.ts:136","Structural","new"
"DFE31B7CAE82E3A94283D5196D57CCDA","Password Management: Hardcoded Password","test/cypress/integration/e2e/b2bOrder.spec.ts:37","Structural","new"
"22381F2D349BD963DCCA7069305A2E9F","Password Management: Hardcoded Password","test/cypress/integration/e2e/noSql.spec.ts:8","Structural","new"
"22381F2D349BD963DCCA7069305A2E9E","Password Management: Hardcoded Password","test/cypress/integration/e2e/deluxe.spec.ts:21","Structural","new"
"22381F2D349BD963DCCA7069305A2E9D","Password Management: Hardcoded Password","test/cypress/integration/e2e/deluxe.spec.ts:4","Structural","new"
"22381F2D349BD963DCCA7069305A2E9C","Password Management: Hardcoded Password","test/cypress/integration/e2e/dataExport.spec.ts:24","Structural","new"
"22381F2D349BD963DCCA7069305A2E9B","Password Management: Hardcoded Password","test/cypress/integration/e2e/dataErasure.spec.ts:3","Structural","new"
"22381F2D349BD963DCCA7069305A2E9A","Password Management: Hardcoded Password","test/cypress/integration/e2e/contact.spec.ts:47","Structural","new"
"22381F2D349BD963DCCA7069305A2E99","Password Management: Hardcoded Password","test/cypress/integration/e2e/contact.spec.ts:11","Structural","new"
"22381F2D349BD963DCCA7069305A2E98","Password Management: Hardcoded Password","test/cypress/integration/e2e/complain.spec.ts:5","Structural","new"
"22381F2D349BD963DCCA7069305A2E97","Password Management: Hardcoded Password","test/cypress/integration/e2e/chatbot.spec.ts:3","Structural","new"
"22381F2D349BD963DCCA7069305A2E96","Password Management: Hardcoded Password","test/cypress/integration/e2e/changePassword.spec.ts:31","Structural","new"
"22381F2D349BD963DCCA7069305A2E95","Password Management: Hardcoded Password","test/cypress/integration/e2e/changePassword.spec.ts:25","Structural","new"
"22381F2D349BD963DCCA7069305A2E94","Password Management: Hardcoded Password","test/cypress/integration/e2e/changePassword.spec.ts:6","Structural","new"
"22381F2D349BD963DCCA7069305A2E93","Password Management: Hardcoded Password","test/cypress/integration/e2e/basket.spec.ts:77","Structural","new"
"22381F2D349BD963DCCA7069305A2E92","Password Management: Hardcoded Password","test/cypress/integration/e2e/basket.spec.ts:4","Structural","new"
"22381F2D349BD963DCCA7069305A2E91","Password Management: Hardcoded Password","test/cypress/integration/e2e/administration.spec.ts:5","Structural","new"
"22381F2D349BD963DCCA7069305A2E90","Password Management: Hardcoded Password","test/api/walletApiSpec.ts:18","Structural","new"
"22381F2D349BD963DCCA7069305A2E8F","Password Management: Hardcoded Password","test/api/userProfileSpec.ts:19","Structural","new"
"22381F2D349BD963DCCA7069305A2E8E","Password Management: Hardcoded Password","test/api/userApiSpec.ts:216","Structural","new"
"22381F2D349BD963DCCA7069305A2E8D","Password Management: Hardcoded Password","test/api/userApiSpec.ts:205","Structural","new"
"22381F2D349BD963DCCA7069305A2E8C","Password Management: Hardcoded Password","test/api/userApiSpec.ts:144","Structural","new"
"22381F2D349BD963DCCA7069305A2E8B","Password Management: Hardcoded Password","test/api/userApiSpec.ts:125","Structural","new"
"22381F2D349BD963DCCA7069305A2E8A","Password Management: Hardcoded Password","test/api/userApiSpec.ts:103","Structural","new"
"22381F2D349BD963DCCA7069305A2E68","Password Management: Hardcoded Password","test/api/orderHistoryApiSpec.ts:128","Structural","new"
"22381F2D349BD963DCCA7069305A2E67","Password Management: Hardcoded Password","test/api/orderHistoryApiSpec.ts:108","Structural","new"
"22381F2D349BD963DCCA7069305A2E66","Password Management: Hardcoded Password","test/api/orderHistoryApiSpec.ts:89","Structural","new"
"22381F2D349BD963DCCA7069305A2E65","Password Management: Hardcoded Password","test/api/orderHistoryApiSpec.ts:72","Structural","new"
"22381F2D349BD963DCCA7069305A2E64","Password Management: Hardcoded Password","test/api/orderHistoryApiSpec.ts:55","Structural","new"
"22381F2D349BD963DCCA7069305A2E63","Password Management: Hardcoded Password","test/api/orderHistoryApiSpec.ts:18","Structural","new"
"22381F2D349BD963DCCA7069305A2E62","Password Management: Hardcoded Password","test/api/memoryApiSpec.ts:90","Structural","new"
"22381F2D349BD963DCCA7069305A2E61","Password Management: Hardcoded Password","test/api/memoryApiSpec.ts:63","Structural","new"
"22381F2D349BD963DCCA7069305A2E60","Password Management: Hardcoded Password","test/api/memoryApiSpec.ts:25","Structural","new"
"22381F2D349BD963DCCA7069305A2E5F","Password Management: Hardcoded Password","test/api/loginApiSpec.ts:266","Structural","new"
"22381F2D349BD963DCCA7069305A2E5E","Password Management: Hardcoded Password","test/api/loginApiSpec.ts:245","Structural","new"
"22381F2D349BD963DCCA7069305A2E5D","Password Management: Hardcoded Password","test/api/loginApiSpec.ts:142","Structural","new"
"22381F2D349BD963DCCA7069305A2E5C","Password Management: Hardcoded Password","test/api/loginApiSpec.ts:124","Structural","new"
"22381F2D349BD963DCCA7069305A2E5B","Password Management: Hardcoded Password","test/api/loginApiSpec.ts:109","Structural","new"
"22381F2D349BD963DCCA7069305A2E5A","Password Management: Hardcoded Password","test/api/loginApiSpec.ts:94","Structural","new"
"22381F2D349BD963DCCA7069305A2E59","Password Management: Hardcoded Password","test/api/loginApiSpec.ts:79","Structural","new"
"22381F2D349BD963DCCA7069305A2E58","Password Management: Hardcoded Password","test/api/loginApiSpec.ts:64","Structural","new"
"22381F2D349BD963DCCA7069305A2E57","Password Management: Hardcoded Password","test/api/loginApiSpec.ts:46","Structural","new"
"22381F2D349BD963DCCA7069305A2E56","Password Management: Hardcoded Password","test/api/loginApiSpec.ts:30","Structural","new"
"22381F2D349BD963DCCA7069305A2E55","Password Management: Hardcoded Password","test/api/loginApiSpec.ts:21","Structural","new"
